"Project","Amount.Raised.in.ICO...M.","ICO.Close.Date","Page.count","Amount.Raised.per.Page...M."
"BETEX","$10.23","4/15/18","56","$0.18"
"Fire Lotto","$4.24","4/15/18","26","$0.16"
"VinChain","$6.20","4/15/18","67","$0.09"
"MAVRO","$1.46","4/15/18","29","$0.05"
"Node","$1.15","4/15/18","29","$0.04"
"RuCoin","$1.17","4/15/18","33","$0.04"
"Bitrace","$1.82","4/15/18","53","$0.03"
"Docademic","$1.10","4/15/18","57","$0.02"
"Zenome","$0.66","4/15/18","52","$0.01"
"AIRCOIN","$27.99","4/16/18","28","$1.00"
"NeuroChain","$26.53","4/16/18","51","$0.52"
"Morpheus Labs","$10.10","4/16/18","32","$0.32"
"Block Collider","$7.01","4/16/18","29","$0.24"
"Auctus","$3.87","4/17/18","54","$0.07"
"Mossland","$9.36","4/18/18","38","$0.25"
"NKN","$14.20","4/19/18","15","$0.95"
"Pecunio","$20.54","4/19/18","38","$0.54"
"Ziggurat Token","$10.00","4/19/18","24","$0.42"
"Themis Network","$12.00","4/19/18","34","$0.35"
"MOOVER","$50.92","4/20/18","32","$1.59"
"BitCar","$9.30","4/20/18","45","$0.21"
"Nebula AI","$6.33","4/20/18","68","$0.09"
"Ponder ","$1.50","4/20/18","34","$0.04"
"Knowledge","$7.69","4/21/18","45","$0.17"
"Joy Token","$3.34","4/21/18","44","$0.08"
"Lendingblock","$10.00","4/22/18","38","$0.26"
"CoinHealth","$7.00","4/22/18","30","$0.23"
"DML","$10.43","4/22/18","58","$0.18"
"Morpheus Network","$7.50","4/22/18","45","$0.17"
"Garuda Energy","$10.00","4/24/18","16","$0.63"
"GoHelpFund","$0.11","4/24/18","16","$0.01"
"SmartGold","$4.27","4/25/18","13","$0.33"
"Concierge.io","$2.56","4/25/18","42","$0.06"
"Bitnation","$1.34","4/25/18","42","$0.03"
"Berith","$9.48","4/27/18","41","$0.23"
"TrustedHealth","$1.25","4/27/18","53","$0.02"
"Holo","$20.39","4/28/18","38","$0.54"
"Shopin","$42.55","4/30/18","59","$0.72"
"ProximaX","$28.71","4/30/18","49","$0.59"
"Saifu","$13.02","4/30/18","29","$0.45"
"CloudMoolah","$12.30","4/30/18","57","$0.22"
"Signals","$2.14","4/30/18","25","$0.09"
"Solve.Care","$35.00","5/1/18","52","$0.67"
"Blockchain Terminal","$21.50","5/1/18","43","$0.50"
"Equitybase","$5.83","5/1/18","23","$0.25"
"iOlite ","$2.23","5/1/18","13","$0.17"
"KodakOne","$2.00","5/1/18","27","$0.07"
"uKit","$2.50","5/1/18","43","$0.06"
"Kerberos ICO","$0.66","5/1/18","18","$0.04"
"Unibright","$13.54","5/2/18","35","$0.39"
"Project SHIVOM","$35.00","5/3/18","21","$1.67"
"GoChain","$13.69","5/3/18","29","$0.47"
"Fund Platform","$4.43","5/3/18","33","$0.13"
"Merculet","$28.69","5/4/18","36","$0.80"
"CEEK","$17.34","5/4/18","60","$0.29"
"Skrumble Network","$16.47","5/5/18","26","$0.63"
"Libra Credit","$26.40","5/5/18","45","$0.59"
"MOBILINK COIN","$5.50","5/5/18","24","$0.23"
"Orozu","$5.02","5/5/18","29","$0.17"
"HOLD","$11.30","5/7/18","44","$0.26"
"DAOstack","$30.00","5/8/18","34","$0.88"
"Eligma","$10.06","5/8/18","74","$0.14"
"Patron","$40.00","5/9/18","67","$0.60"
"Virtue Poker","$18.55","5/9/18","49","$0.38"
"Flashmoni","$72.00","5/10/18","65","$1.11"
"Bob's Repair","$18.64","5/10/18","31","$0.60"
"HYCON","$3.65","5/10/18","30","$0.12"
"VideoCoin","$50.00","5/11/18","21","$2"
"Bezant","$27.50","5/11/18","49","$0.56"
"Quantum1Net","$4.15","5/11/18","13","$0.32"
"Assetereum","$4.19","5/11/18","26","$0.16"
"TokenSpeed","$0.65","5/11/18","20","$0.03"
"300cubits","$1.10","5/12/18","17","$0.06"
"Betrium","$1.50","5/14/18","44","$0.03"
"Orbs","$118.00","5/15/18","91","$1.30"
"Money Rebel","$3.84","5/15/18","35","$0.11"
"Brickblock","$12.72","5/16/18","10","$1.27"
"ZPER","$23.21","5/16/18","29","$0.80"
"Dorado","$20.00","5/16/18","35","$0.57"
"The Abyss ","$15.36","5/16/18","30","$0.51"
"Hero Node","$21.77","5/17/18","46","$0.47"
"Miner One","$9.10","5/17/18","45","$0.20"
"Forty Seven Bank","$12.21","5/17/18","71","$0.17"
"AIREN","$19.00","5/18/18","14","$1.36"
"World Wi-Fi","$25.00","5/18/18","42","$0.60"
"TTC Protocol","$19.11","5/18/18","79","$0.24"
"Hamster Marketplace","$4.38","5/19/18","40","$0.11"
"Tesoro","$5.00","5/20/18","18","$0.28"
"XYO Network","$12.00","5/21/18","20","$0.60"
